지점,지점명,일시,평균기온(°C)
108,서울,2025-08-31,28.5
108,서울,2025-09-01,26.1
108,서울,2025-09-02,26
108,서울,2025-09-03,27.6
108,서울,2025-09-04,25.8
108,서울,2025-09-05,27.9
108,서울,2025-09-06,26.8
108,서울,2025-09-07,25.3
108,서울,2025-09-08,24.4
108,서울,2025-09-09,23.7
108,서울,2025-09-10,24.8
108,서울,2025-09-11,25.8
108,서울,2025-09-12,23.9
108,서울,2025-09-13,23.3
108,서울,2025-09-14,24.8
108,서울,2025-09-15,25.7
108,서울,2025-09-16,23.7
108,서울,2025-09-17,22.7
108,서울,2025-09-18,22.1
108,서울,2025-09-19,19.4
108,서울,2025-09-20,20
108,서울,2025-09-21,21.6
108,서울,2025-09-22,21.3
108,서울,2025-09-23,22.7
108,서울,2025-09-24,22
108,서울,2025-09-25,22.5
108,서울,2025-09-26,21.7
108,서울,2025-09-27,22.5
108,서울,2025-09-28,20
108,서울,2025-09-29,19.6
108,서울,2025-09-30,19.8
