지점,지점명,일시,평균기온(°C)
152,울산,2025-08-31,27.9
152,울산,2025-09-01,27.1
152,울산,2025-09-02,25.7
152,울산,2025-09-03,25.4
152,울산,2025-09-04,26.4
152,울산,2025-09-05,26.1
152,울산,2025-09-06,27.9
152,울산,2025-09-07,28.5
152,울산,2025-09-08,26.1
152,울산,2025-09-09,20.5
152,울산,2025-09-10,22.4
152,울산,2025-09-11,23.6
152,울산,2025-09-12,23.9
152,울산,2025-09-13,23.8
152,울산,2025-09-14,23.3
152,울산,2025-09-15,25.8
152,울산,2025-09-16,27.5
152,울산,2025-09-17,26.9
152,울산,2025-09-18,21.4
152,울산,2025-09-19,21.5
152,울산,2025-09-20,21.8
152,울산,2025-09-21,20.4
152,울산,2025-09-22,20.8
152,울산,2025-09-23,21.5
152,울산,2025-09-24,23
152,울산,2025-09-25,23.5
152,울산,2025-09-26,22.4
152,울산,2025-09-27,22.4
152,울산,2025-09-28,22.3
152,울산,2025-09-29,20.7
152,울산,2025-09-30,20.1
